id,source,target,description,weight,combined_degree
274,COMMISSION,DELEGATED ACT,"The European Commission possesses the authority to adopt, update, and modify delegated acts as a regulatory mechanism. This power is explicitly granted to the Commission, enabling it to detail specific methodologies, amend various Annexes, and ensure legislative frameworks remain current and functional. These delegated acts are subject to specific conditions and must be exercised in accordance with established mandates, such as Article 97.

In terms of operational scope, the Commission is empowered to use delegated acts to adjust critical regulatory criteria. This includes the obligation and authority to amend Annex IV, Annex V, and Annex XIII, allowing for necessary updates to computation thresholds and specific criteria within these sections. Furthermore, the Commission utilizes delegated acts to modify Systemic Risk Thresholds, ensuring that risk management frameworks evolve alongside technological advancements.

A significant aspect of the Commission’s mandate regarding delegated acts involves the oversight of AI systems. The Commission is authorized to amend the classification of high-risk AI systems and update the list of high-risk AI systems through this mechanism. By employing delegated acts, the Commission retains the necessary flexibility to respond to new developments, ensuring that the classification and regulation of AI technologies remain accurate and effective. In summary, delegated acts serve as a vital tool for the Commission to maintain, refine, and update legal Annexes and risk-based thresholds, ensuring compliance and adaptability within its regulatory responsibilities.",139.0,108
1130,HIGH-RISK AI SYSTEM,ANNEX III,"The ""High-Risk AI system"" classification is directly defined and determined by its inclusion within ""Annex III."" These AI systems are systematically categorized, identified, and classified based on the specific domains, areas, and categories explicitly listed in Annex III. Consequently, any system referenced within these Annex III categories is officially designated as a high-risk AI system.

Being classified as a high-risk AI system under Annex III triggers several regulatory obligations. These systems are subject to specific registration requirements to ensure transparency and accountability. Furthermore, they are governed by various regulatory articles regarding operational compliance; for instance, high-risk AI systems included in Annex III are subject to the testing protocols outlined in Article 60, as well as the provisions mandated by Article 86. Additionally, specific subsets of these systems—notably those referred to in point 1(a) of Annex III—are subject to unique and rigorous oversight requirements. In summary, Annex III serves as the definitive framework for identifying high-risk AI systems and establishing the compliance landscape, including registration, oversight, and testing mandates, to which these systems must adhere.",96.0,175
1209,PROVIDER,EU DECLARATION OF CONFORMITY,"The Provider is legally obligated to draw up, maintain, and keep updated the EU Declaration of Conformity. Under their sole responsibility, the Provider must issue this document in accordance with the requirements set forth in Article 47. Furthermore, the Provider is required to register and submit a copy of the EU Declaration of Conformity as part of the formal registration process mandated by Article 47.",84.0,177
408,HIGH-RISK AI SYSTEM,HUMAN OVERSIGHT,"**High-risk AI systems** are subject to mandatory **human oversight** requirements, a mandate designed to ensure their safe operation and to prevent or minimize potential risks. This oversight is formally established in legal frameworks, specifically referenced in Article 14 and Recital 73 of the relevant regulations.

The primary purpose of integrating **human oversight** into **high-risk AI systems** is to ensure that any negative impacts are proactively identified and addressed throughout the system's entire lifecycle. By requiring human involvement, the framework aims to maintain a critical layer of control and accountability, ensuring these systems function safely and align with safety standards from development through deployment and beyond.",79.0,169
1163,TECHNICAL DOCUMENTATION,ANNEX IV,"Technical documentation is defined and governed by the requirements set out in Annex IV. Consequently, all technical documentation must include the specific elements and adhere to the requirements specified or referenced within Annex IV.",79.0,50
1244,EU DECLARATION OF CONFORMITY,ARTICLE 47,The EU Declaration of Conformity is formally defined and established within Article 47. This regulatory provision serves as the foundational reference point for the legal requirements and specifications governing the EU Declaration of Conformity.,70.0,23
1128,RISK MANAGEMENT SYSTEM,ARTICLE 9,"The Risk Management System is established and comprehensively addressed within Article 9. This article serves as the governing framework, outlining the essential definitions, specific provisions, and mandatory requirements necessary for the system’s implementation and operation. By centralizing these elements, Article 9 ensures that the Risk Management System functions according to the defined regulatory standards.",70.0,13
100,PROVIDER,HIGH-RISK AI SYSTEM,"A ""PROVIDER"" is the entity responsible for the development, placement, and operation of a ""HIGH-RISK AI SYSTEM."" Specifically, the Provider is tasked with placing the HIGH-RISK AI SYSTEM on the market or putting it into service, maintaining control over the system's deployment.

The Provider bears comprehensive responsibility for ensuring that the HIGH-RISK AI SYSTEM complies with all applicable regulations. This obligation remains binding regardless of the Provider’s physical location; if the output generated by the Provider's HIGH-RISK AI SYSTEM is intended for use within the European Union, the Provider is subject to the relevant regulatory framework. Consequently, they must ensure full regulatory compliance for any such system.

Furthermore, the Provider’s oversight responsibilities are continuous. Should the notified body previously responsible for oversight be suspended, it is the Provider’s specific obligation to secure new notified body oversight to maintain the system's compliance status. In essence, the Provider acts as the primary accountable party, ensuring that the HIGH-RISK AI SYSTEM meets all necessary standards throughout its lifecycle, particularly when its outputs are utilized within the Union.",67.0,322
168,LAW ENFORCEMENT AUTHORITY,REAL-TIME REMOTE BIOMETRIC IDENTIFICATION SYSTEM,"**Law enforcement authorities** are the primary actors responsible for managing the deployment and utilization of **real-time remote biometric identification systems**. While these systems offer advanced capabilities for identification, their usage by **law enforcement authorities** is governed by a stringent regulatory framework designed to balance security needs with privacy and civil liberties.

Although **law enforcement authorities** are generally restricted from employing **real-time remote biometric identification systems**, this prohibition is not absolute. When deployment does occur, it is subject to rigorous oversight. Specifically, the use of a **real-time remote biometric identification system** by **law enforcement authorities** must be strictly limited in terms of necessity, scope, and duration. These constraints ensure that the technology is only utilized when essential and targeted to specific, justified operational requirements.

Furthermore, the deployment of a **real-time remote biometric identification system** by **law enforcement authorities** cannot be undertaken unilaterally. Instead, any such usage is contingent upon obtaining formal authorization, ensuring that independent review and accountability are integrated into the process. In summary, **law enforcement authorities** operate as the administrators and users of **real-time remote biometric identification systems**, but they must navigate a highly restrictive legal environment that mandates strict adherence to necessity, limited scope, time constraints, and required authorization protocols.",66.0,61
506,DEPLOYER,HUMAN OVERSIGHT,"The Deployer bears the fundamental obligation to implement and maintain effective human oversight for high-risk AI systems. This responsibility encompasses several critical duties designed to ensure that the system operates safely, ethically, and under appropriate supervision.

First, the Deployer is required to implement human oversight measures as prescribed by the AI system’s provider. This includes not only putting these measures into practice but also actively monitoring the operation of the AI system to ensure it functions as intended. 

A central component of this obligation involves the assignment of specific responsibilities to natural persons. The Deployer must ensure that human oversight is specifically applied to the high-risk AI system, meaning oversight cannot be automated or left unchecked. When assigning these duties, the Deployer is responsible for selecting appropriate personnel and ensuring that the individuals tasked with this oversight possess the necessary competence, authority, and training to perform their roles effectively. This ensures that the assigned persons are genuinely capable of intervening, understanding the system's outputs, and making informed decisions regarding its operation. 

In summary, the Deployer is accountable for bridging the gap between the provider's technical specifications and the actual deployment of the AI system by ensuring that qualified human oversight is consistently applied, monitored, and supported by empowered personnel.",66.0,90
