id,entity_name,entity_type,description,frequency,degree
44,PROVIDER,ACTOR,"A ""Provider"" is defined as any natural or legal person, public authority, agency, or other body that develops an AI system or a general-purpose AI (GPAI) model—or has one developed—and subsequently places it on the market or puts it into service under its own name or trademark. This definition encompasses entities regardless of whether the system is provided for payment or free of charge. Furthermore, the definition includes entities established in third countries if the output of their system is intended to be used within the European Union.

As the central entity responsible for the AI system or GPAI model, the Provider bears primary accountability for compliance with the AI Act. This responsibility remains with the Provider regardless of whether they personally designed or developed the system, provided they are the entity responsible for placing it on the market or putting it into service. If the Provider is established in a third country, they are obligated to appoint an authorized representative within the Union.

The obligations placed on a Provider are extensive and vary depending on the nature of the system. Generally, Providers are tasked with ensuring conformity with the AI Act, which includes maintaining technical documentation, performing risk management, implementing data governance, ensuring transparency, and reporting serious incidents. For high-risk AI systems, these obligations are particularly stringent and include:
*   Establishing and maintaining a quality management system.
*   Conducting conformity assessments and drawing up the EU declaration of conformity.
*   Registering the system in the EU database.
*   Implementing human oversight, logging mechanisms, and post-market monitoring.
*   Providing clear instructions for use and defining performance metrics.

Providers are also subject to supervisory and enforcement actions, including the potential for administrative fines in cases of non-compliance, circumvention, or insufficient corrective actions. Notified bodies are expected to consider the size, sector, and structure of a Provider to minimize administrative burdens during conformity assessments.

Additionally, Providers are eligible to participate in AI regulatory sandboxes and are authorized to conduct testing of AI systems in real-world conditions, provided they comply with specific notification, mitigation, and registration requirements. They may also be involved in drawing up codes of conduct. For content-generating AI systems, Providers are specifically obligated to embed technical solutions for marking and detection. Ultimately, the Provider is responsible for ensuring that their system meets all legal requirements and remains compliant throughout its lifecycle, including taking necessary corrective actions when notified of issues.",102,163
13,HIGH-RISK AI SYSTEM,AISYSTEM,"A **HIGH-RISK AI SYSTEM** is defined under the EU AI Act as a system that poses significant risks to health, safety, or fundamental rights. These systems are subject to a robust, stringent regulatory framework designed to mitigate these risks while allowing for beneficial innovation.

**Classification and Scope**
A HIGH-RISK AI SYSTEM is typically identified through specific criteria:
*   **Article 6 Classification:** Systems classified under Article 6(1) or (2), including those listed in Annex III, or those serving as safety components of products covered by specific Union harmonization legislation (e.g., medical devices).
*   **Domain-Specific:** Systems used in sensitive domains such as law enforcement, border control, migration, asylum, administration of justice, democratic processes, and biometric identification often fall into this category.
*   **Extraterritorial Reach:** The classification applies even if the provider or operator is located in a third country, provided the system’s output is used within the European Union.
*   **Administrative Oversight:** Market surveillance authorities retain the power to deem a system high-risk even if not initially classified as such by the provider. The list of such systems may be amended via delegated acts.

**Compliance and Obligations**
Because of their risk profile, a HIGH-RISK AI SYSTEM must undergo strict mandatory requirements before being placed on the market or put into service:
*   **Conformity Assessment:** Providers must ensure compliance through rigorous conformity assessments, often involving independent notified bodies. These processes include establishing quality management systems (Article 63) and technical documentation.
*   **Technical Standards:** Systems must meet high standards for accuracy, robustness, cybersecurity, and data governance throughout their lifecycle. This includes implementing risk management systems (Article 9) and maintaining transparency, logging, and human oversight mechanisms.
*   **Documentation and Registration:** Providers must adhere to record-keeping obligations, translate necessary documents, apply CE marking, and register their systems in the centralized EU database.
*   **Post-Market and Operational Requirements:** Obligations extend beyond market entry. Providers must conduct post-market monitoring, manage serious incident reporting, and implement corrective actions. Deployers of these systems may also face specific requirements regarding impact assessments—particularly in the public sector—as well as obligations for monitoring, logging, and ensuring human oversight.

**Oversight and Enforcement**
The regulatory framework ensures continuous supervision. Even compliant systems remain subject to corrective measures if they are found to present residual risks to safety, health, or fundamental rights (Article 82). Certain high-risk systems are permitted to undergo testing in real-world conditions under Article 60, provided they adhere to specific regulatory safeguards. Furthermore, these systems are explicitly excluded from the primary scope of voluntary codes of conduct (Article 95), emphasizing the mandatory nature of their compliance regime. Ultimately, the classification aims to ensure that while these systems serve complex and important functions, they do not compromise the protections guaranteed to individuals and society.",99,159
176,MARKET SURVEILLANCE AUTHORITY,AUTHORITY,"The Market Surveillance Authority refers to the national competent authority or regulatory body designated by Member States to enforce, supervise, and implement the provisions of the AI Act. Acting as the primary point of contact for the enforcement of the Regulation, these bodies exercise their powers independently and impartially to ensure the safety, conformity, and compliance of AI systems within the Union market.

In their capacity as market regulators, these authorities are responsible for conducting surveillance activities, performing inspections, and evaluating AI systems to ensure they meet established requirements. Their oversight role extends to verifying the conformity of products, requesting documentation or information from providers—including access to source code when necessary—and monitoring compliance under various articles of the AI Act. When AI systems present risks or fail to comply, the Market Surveillance Authority is empowered to take corrective measures, initiate safeguard procedures, and apply administrative fines to operators. In exceptional circumstances, they may also authorize the placing on the market or putting into service of AI systems that have not undergone standard conformity assessments.

The Market Surveillance Authority functions as a central hub for reporting and communication. Deployers are required to notify these authorities regarding the outcomes of fundamental rights impact assessments, the use of real-time remote biometric identification systems, and the occurrence of serious incidents or systemic risks. Furthermore, providers must report serious incidents to them, and they are responsible for receiving complaints from natural or legal persons concerning infringements of the Regulation. These authorities must also review provider compliance, often taking into account exit reports and written proof.

Beyond individual market oversight, these bodies are responsible for approving and overseeing real-world testing plans and conditions within their respective Member States. They cooperate extensively with the European Artificial Intelligence Board, often participating in standing sub-groups to ensure a harmonized approach across the Union. Additionally, they may collaborate with other entities, such as notifying authorities, to request access to the files of restricted, suspended, or withdrawn notified bodies.

The specific Market Surveillance Authority designated by a Member State may vary, potentially being an existing authority responsible for legislation listed in Annex I or a financial supervisor. Regardless of their specific structure, they are tasked with acting as the single point of contact for enforcement and supervision, carrying out their duties in accordance with Regulation (EU) 2019/1020 and the specific mandates laid out in the AI Act. This comprehensive oversight ensures that all AI systems—whether for general use or sensitive sectors like law enforcement, immigration, or asylum—remain under the strict scrutiny of a capable and independent regulatory body.",54,88
3,EUROPEAN COMMISSION,AUTHORITY,"The European Commission functions as the central executive institution of the European Union, playing a comprehensive and multifaceted role in the implementation, oversight, and enforcement of the AI Act. As the body responsible for proposing the legislation, the European Commission is tasked with the ongoing evaluation and review of the Regulation, including a formal assessment of its enforcement by August 2031, which it reports to the European Parliament and the Council.

A primary responsibility of the European Commission is its regulatory authority. It is empowered to adopt delegated and implementing acts to ensure the effective application of the AI Act, including aligning existing sector-specific Union harmonisation legislation with the AI Act’s requirements. This includes establishing common specifications, issuing standardisation requests, and adopting technical specifications and testing standards. The European Commission also possesses the power to exercise regulatory actions such as requesting documentation, conducting evaluations, and issuing fines.

Regarding General Purpose AI (GPAI) and systemic risks, the European Commission serves as the regulatory body responsible for designating GPAI models as having systemic risk based on specific criteria and annexes. It is also authorized to publish lists of these systemic risk models and assess their compliance. Furthermore, it manages the AI Office and coordinates with national competent authorities, serving as the central body for supporting market surveillance, sharing information with third-country regulators, and maintaining the public list of notified bodies, including assigning them identification numbers.

The European Commission’s support role is extensive. It facilitates innovation by developing guidelines, voluntary model contractual terms, and awareness campaigns, while specifically supporting SMEs through cost-assessment and reduction efforts. It encourages the development of benchmarks, measurement methodologies, and codes of practice for transparency. It manages electronic notification tools, develops mutual recognition agreements, and acts as the data controller for the EU database. Additionally, it oversees the establishment of the scientific panel and provides guidance and technical support for AI regulatory sandboxes, including the development of a single interface for these environments.

Enforcement and compliance monitoring are key pillars of the European Commission’s mandate. It evaluates national measures, decides on their justification during Union safeguard procedures, and coordinates corrective actions. It receives various notifications, including reports on serious incidents, national rules on the authorisation of biometric systems, and annual reports from Member States regarding administrative fines. The European Commission actively collaborates with market surveillance authorities to propose joint investigations and cooperates with ENISA on AI cybersecurity matters. Ultimately, the European Commission operates as the overarching executive and supervisory body, ensuring that the AI Act is consistently applied, monitored, and adapted to evolving technological landscapes.",59,83
45,DEPLOYER,ACTOR,"A ""DEPLOYER"" is defined as any natural or legal person—including public authorities, agencies, or other bodies—that operates an AI system under their authority. This definition expressly excludes instances where an AI system is used in the course of a personal, non-professional activity. The classification of a DEPLOYER applies to entities established within the European Union, as well as those established in third countries, provided the output of the AI system they operate is intended for use within the Union.

As the party responsible for using an AI system, a DEPLOYER assumes a range of operational and legal obligations depending on the nature of the system deployed. For high-risk AI systems, these obligations are particularly stringent. High-risk system DEPLOYERS, especially those governed by public law or private entities providing public services, must adhere to requirements such as performing fundamental rights impact assessments, maintaining logs, monitoring system performance, and implementing robust human oversight measures to ensure correct interpretation of outputs. They are also responsible for notifying individuals about the use of these systems, reporting serious incidents, and maintaining necessary records. Specific to public authorities, institutions, or agencies, there is a mandate to register their use of high-risk AI systems in the EU database.

Beyond general operations, the DEPLOYER plays a critical role in the AI lifecycle, particularly in regulatory compliance and safety. They are required to interpret instructions and user-interface guidance provided by the AI system's developer to make informed decisions. In the context of real-world testing, a DEPLOYER acts as a partner to the provider, often entering into written agreements that delineate roles, responsibilities, and data sharing protocols. They may also collaborate with providers to manage risks, report non-conformities, and participate in regulatory sandboxes.

Furthermore, a DEPLOYER is subject to transparency obligations, such as disclosing when content has been artificially generated or manipulated (e.g., in the case of deepfakes). They are expected to consider the context of use and the required level of human oversight—such as verification procedures for biometric identification systems—to prevent misuse and protect individuals affected by AI-driven decisions. Ultimately, the role of the DEPLOYER is to ensure that the use of AI systems under their authority aligns with regulatory standards, which may include drawing up codes of conduct and complying with specific deadlines for implementation and compliance.",71,80
118,COMMISSION,AUTHORITY,"The European Commission serves as the central regulatory and executive authority under the EU AI Act, wielding extensive powers to oversee, enforce, and adapt the Regulation to evolving technological landscapes. As the EU executive body, the European Commission is responsible for the overall implementation of the Regulation, which includes establishing the AI Office, appointing the AI High-Level Expert Group (HLEG), and maintaining the European Artificial Intelligence Board. It acts as the controller of the centralized EU database for AI systems, facilitating data exchange, transparency, and resource management among Member States.

The Commission’s legislative responsibilities are significant. It is empowered to adopt delegated acts to update technical documentation requirements, modify Annexes (such as Annex III regarding high-risk AI systems and Annex V regarding the EU declaration of conformity), and adjust thresholds. Furthermore, the Commission is tasked with issuing guidelines on the practical implementation of the Regulation—including guidance for microenterprises and SMEs—establishing common specifications, and issuing standardization requests to support compliance. It also oversees the creation of European common data spaces.

In terms of enforcement and supervision, the European Commission holds exclusive authority to enforce Chapter V concerning General-Purpose AI (GPAI) models. This includes designating GPAI models with systemic risks, conducting compliance assessments, mandating mitigation measures, and imposing fines under Article 101. Decisions made by the Commission regarding GPAI providers are subject to review by the Court of Justice of the European Union.

The Commission’s operational duties involve continuous monitoring and collaboration. It cooperates with ENISA, consults the Advisory Forum and the Board, and receives mandatory notifications from national competent authorities regarding serious incidents, enforcement actions, and national authorizations. It also evaluates national measures, communicates decisions to Member States, and designates testing support structures. Additionally, the Commission is responsible for drafting and approving codes of practice, establishing simplified documentation forms for SMEs, and publishing annual reports to ensure accountability. Throughout these processes, the European Commission acts as the primary focal point for governance, ensuring the consistent application of the AI Act across the European Union.",55,78
348,NOTIFIED BODY,ACTOR,"A Notified Body is an independent, authorized organization designated by Member States to perform critical third-party conformity assessment procedures for high-risk AI systems under the AI Act. These bodies serve a central role in the AI regulatory ecosystem, ensuring that AI systems comply with all relevant legal requirements before they enter the market.

To operate as a Notified Body, an organization must successfully complete a formal notification process, demonstrating that it meets strict standards regarding competence, independence, professional secrecy, and liability insurance, as outlined in Articles 31 through 34 of the AI Act. Once designated, each Notified Body is assigned a unique identification number by the Commission. This identification number must be displayed alongside the CE marking on relevant products and referenced in the EU declaration of conformity where applicable. Furthermore, details regarding certificates issued and the body's identification number must be registered in accordance with Annex IX.

The primary responsibilities of a Notified Body include examining technical documentation and assessing quality management systems for high-risk AI systems. Based on these assessments, the Notified Body issues, suspends, or withdraws certificates of conformity. If a system fails to meet requirements, the body has the authority to refuse certification. Throughout this process, Notified Bodies must also remain vigilant regarding non-compliance findings, as they are required to coordinate with market surveillance authorities.

Notified Bodies operate under significant regulatory oversight and ongoing obligations. They are subject to monitoring by national notifying authorities, and if their designation status changes—such as being restricted, suspended, or withdrawn—they must immediately cease specific activities and inform the affected AI system providers. These bodies are bound by strict confidentiality obligations under Article 78 and must maintain transparency regarding their fees, specifically being required to consider the needs and interests of Small and Medium-sized Enterprises (SMEs). In line with this, Notified Bodies are required to accept simplified technical documentation forms submitted by SMEs.

Beyond direct assessment duties, Notified Bodies are active participants in the broader AI ecosystem. They engage in information exchange and cross-border cooperation, and they may be involved in oversight activities within the AI regulatory sandbox (Article 58(2)(f)). In accordance with the Regulation, the specific provisions regarding these bodies, including their designation and operational mandates for high-risk AI systems, became applicable starting 2 August 2025. Ultimately, the Notified Body acts as a rigorous gatekeeper, ensuring the safety and compliance of AI systems through impartial evaluation and continuous adherence to Union harmonisation legislation.",33,62
439,AI OFFICE,AUTHORITY,"The **AI Office** is an EU-level body established by the Commission to serve as a central authority for the implementation, supervision, and enforcement of the EU AI Act. Functioning as the Commission’s primary enforcement arm—and effectively synonymous with the Commission’s administrative role in this context—the AI Office is dedicated to developing Union-level expertise in artificial intelligence and ensuring consistent application of AI law.

The core mission of the AI Office centers on the supervision and enforcement of General-Purpose AI (GPAI) models. It is responsible for monitoring provider compliance with obligations, including requesting technical documentation, evaluating GPAI models, and receiving notifications regarding systemic risks. To facilitate these tasks, the AI Office initiates structured dialogues with providers, encourages the creation of codes of practice, and assesses the adequacy of harmonized standards. It also acts as the secretariat for the European Artificial Intelligence Board, preparing agendas and convening meetings, while providing support to the scientific panel regarding enforcement tasks and conflict-of-interest management.

Beyond its focus on GPAI, the AI Office plays a critical role in the broader regulatory landscape. It is mandated to develop methodologies for evaluating risk levels and maintains lists of prohibited practices and systems requiring transparency. It promotes best practices in public procurement by developing templates, information platforms, and communication campaigns. Furthermore, the Office assists national competent authorities by coordinating joint investigations, providing support for regulatory sandboxes, and receiving annual reports from those sandboxes to maintain a public list of establishments.

To support the practical application of the AI Act, the AI Office engages with a diverse range of stakeholders—including experts, the scientific community, industry leaders, and civil society—to refine thresholds, benchmarks, and tools for assessing high-impact capabilities in GPAI models. It is also empowered to develop voluntary model terms for contracts between providers and third parties. To assist deployers in meeting their regulatory requirements, the AI Office develops template questionnaires, particularly for fundamental rights impact assessments, and provides templates for training data summaries.

In summary, the AI Office is the linchpin of the EU's AI governance framework. It operates to ensure that AI systems, especially those based on GPAI models, are safe, compliant, and transparent. By coordinating with Member States, overseeing enforcement activities, and fostering a collaborative environment for standard-setting, the AI Office serves as the primary body for monitoring the effective implementation of the AI Act across the Union.",42,62
0,AI SYSTEM,AISYSTEM,"An AI System is defined as a fast-evolving, machine-based family of technologies designed to operate with varying levels of autonomy. Utilizing machine learning, logic-based, or knowledge-based approaches, these systems infer from human-defined objectives and inputs—such as data or other stimuli—how to generate outputs like predictions, content, recommendations, or decisions. These outputs have the capacity to influence physical or virtual environments. Crucially, an AI system is distinct from traditional software or systems based solely on rules defined by natural persons for automatic execution, as it possesses the capability to learn, reason, model, or adapt after deployment.

These systems can be stand-alone or integrated as components into other products, such as machinery or medical devices. Within the regulatory framework of the EU AI Act, an AI system is broadly defined to ensure it aligns with objectives regarding safety, economic benefit, and the protection of fundamental rights. The scope of these regulations extends to any AI system intended for development, placement on the market, putting into service, or use within the Union. This includes systems utilized by operators in third countries if the output is intended for use within the EU.

Compliance with the AI Act is central to the governance of these technologies. All regulated AI systems must adhere to harmonized rules to ensure trustworthy, human-centric design. Depending on their nature—including categories such as high-risk systems, general-purpose AI models, emotion recognition systems, and biometric systems—AI systems are subject to specific requirements. These obligations may include documentation, rigorous monitoring, conformity assessments, and transparency or labeling requirements, particularly for systems that generate or manipulate content.

Regulatory oversight is comprehensive, involving market surveillance, the potential for corrective actions, and the possibility of withdrawal from the market if a system is found non-compliant or presents unacceptable risks. Providers and deployers are responsible for monitoring and reporting serious incidents. While the regulation is expansive, it includes specific exclusions for activities related to military, national security, and sole-purpose scientific research. Furthermore, the technical nature of an AI system serves as a baseline for assessing infringements and calculating potential fines. Ultimately, while AI systems offer significant societal and economic advantages by improving predictions and optimizing operations, they require ongoing oversight, real-world testing, and adherence to established Union law to mitigate risks to the public interest and ensure the protection of fundamental rights.",31,58
251,NATIONAL COMPETENT AUTHORITY,AUTHORITY,"A National Competent Authority (NCA) is a regulatory or enforcement body designated by a Member State to oversee the application, implementation, and enforcement of the AI Act at the national level. These entities act as the primary interface between national jurisdictions and the European Union’s regulatory framework for artificial intelligence.

The scope of a National Competent Authority is broad and multifaceted. Primarily, they are responsible for ensuring compliance with the AI Act, which includes supervising AI systems, assessing the compliance of high-risk AI systems, and enforcing the regulation. To facilitate this oversight, they are empowered to request and receive technical documentation from providers, including those responsible for high-risk AI systems and general-purpose AI models. They also serve as the body to whom authorized representatives must provide access to relevant documentation. Furthermore, NCAs are entrusted with establishing, managing, and supervising AI regulatory sandboxes, which includes overseeing the development, testing, and validation of AI systems within these controlled environments, as well as authorizing testing in real-world conditions and managing participation periods.

In terms of market surveillance and incident reporting, National Competent Authorities are designated to receive reports regarding serious incidents. They coordinate with the Commission, the AI Office, and the Board, engaging in the exchange of confidential information regarding infringements and enforcement actions. They also collaborate with notifying authorities—or serve as such themselves—to manage the designation and supervision of conformity assessment bodies (notified bodies), ensuring safety, fundamental rights, and health compliance when designations are altered. Additionally, they have the authority to handle measures related to certificate validity and can extend the validity of provisional certificates.

The administrative and operational capacity of a National Competent Authority is subject to scrutiny; their financial, technical, and human resources are evaluated by the Commission to ensure they are sufficient for their mandates. These bodies must maintain confidentiality per regulatory obligations (such as Article 78) and are subject to transparency requirements, including providing information to the Commission upon request. In specific sectors, such as financial services, a National Competent Authority may act as the market surveillance authority for AI systems integrated into those services. They are also prohibited from being provided with incorrect, incomplete, or misleading information by regulated entities. 

Ultimately, National Competent Authorities function as the cornerstone of AI governance within Member States, responsible for providing guidance, coordinating with other national bodies, and upholding the integrity of the AI regulatory framework. In the specific context of Union institutions, the European Data Protection Supervisor may fulfill the role corresponding to a notifying or market surveillance authority.",37,49
